Date,Open,Adj Close,Volume
2022-10-11,110.33999633789062,105.90721130371094,2032000
2022-10-12,111.45999908447266,104.88407897949219,1341500
2022-10-13,107.79000091552734,107.30323791503906,1776700
2022-10-14,113.52999877929688,105.49604797363281,1483400
2022-10-17,113.12999725341797,108.34546661376953,1210700
2022-10-18,116.5,111.62518310546875,1121500
2022-10-19,115.83999633789062,109.61719512939453,1259300
2022-10-20,113.12000274658203,103.66015625,3326900
2022-10-21,109.5999984741211,107.65702056884766,2163400
2022-10-24,113.41000366210938,107.04505920410156,1366000
2022-10-25,112.38999938964844,108.01079559326172,1703100
2022-10-26,113.2300033569336,107.8769302368164,1075500
2022-10-27,113.44000244140625,107.43709564208984,918700
2022-10-28,112.37999725341797,109.15823364257812,1220200
2022-10-31,113.62999725341797,109.17736053466797,1714100
2022-11-01,115.38999938964844,109.00524139404297,1028400
2022-11-02,114.05000305175781,105.25699615478516,1315300
2022-11-03,108.12999725341797,104.9031982421875,1097000
2022-11-04,112.19999694824219,110.40126037597656,1527400
2022-11-07,116.47000122070312,111.24271392822266,1375200
2022-11-08,117.02999877929688,111.35746765136719,1122800
2022-11-09,115.55000305175781,109.76170349121094,759600
2022-11-10,120.26000213623047,119.9803466796875,1513800
2022-11-11,125.83999633789062,125.05604553222656,2106300
2022-11-14,128.97999572753906,123.00846099853516,1891200
2022-11-15,130.58999633789062,124.4888687133789,1639400
2022-11-16,129.2100067138672,123.99861145019531,1352800
2022-11-17,126.91000366210938,121.75878143310547,1051300
2022-11-18,128.82000732421875,123.49873352050781,999400
2022-11-21,127.5,124.05628967285156,1223900
2022-11-22,130.0,126.88250732421875,1525500
2022-11-23,132.22000122070312,127.9111099243164,1078900
2022-11-25,132.35000610351562,128.19952392578125,320300
2022-11-28,132.3000030517578,125.25790405273438,1049300
2022-11-29,130.6999969482422,126.72871398925781,1648700
2022-11-30,131.63999938964844,129.98753356933594,2036700
2022-12-01,136.39999389648438,129.73756408691406,794900
2022-12-02,133.10000610351562,131.987060546875,776600
2022-12-05,135.36000061035156,129.38189697265625,924800
2022-12-06,134.9499969482422,126.93057250976562,885400
2022-12-07,131.3000030517578,124.43119812011719,1670600
2022-12-08,130.24000549316406,125.31558990478516,1099100
2022-12-09,130.4499969482422,125.36365509033203,718800
2022-12-12,130.57000732421875,127.19973754882812,1038300
2022-12-13,136.92999267578125,128.8820343017578,1171200
2022-12-14,133.6699981689453,127.63233184814453,880800
2022-12-15,130.42999267578125,123.78711700439453,1084500
2022-12-16,127.23999786376953,121.28772735595703,1658600
2022-12-19,126.04000091552734,120.76862335205078,682000
2022-12-20,125.20999908447266,119.93228912353516,1106800
2022-12-21,125.7300033569336,122.22980499267578,909500
2022-12-22,125.29000091552734,120.98973083496094,722700
2022-12-23,125.25,121.81645965576172,458200
2022-12-27,126.48999786376953,121.52804565429688,701900
2022-12-28,127.01000213623047,119.46124267578125,640600
2022-12-29,125.37000274658203,121.50881958007812,648800
2022-12-30,125.22000122070312,120.87435913085938,648800
2023-01-03,126.79000091552734,121.93180847167969,1001100
2023-01-04,128.85000610351562,124.94068908691406,763000
2023-01-05,126.54000091552734,118.34614562988281,1610700
2023-01-06,124.86000061035156,123.5275650024414,1231700
2023-01-09,128.67999267578125,123.88323974609375,1299600
2023-01-10,127.0,124.75804138183594,981600
2023-01-11,131.99000549316406,126.97862243652344,1417500
2023-01-12,132.49000549316406,126.5268325805664,1044500
2023-01-13,130.38999938964844,127.27664947509766,871200
2023-01-17,132.36000061035156,125.56553649902344,1689700
2023-01-18,131.52999877929688,122.83541870117188,1973300
2023-01-19,125.77999877929688,118.81716918945312,2904400
2023-01-20,133.3699951171875,125.93081665039062,4117400
2023-01-23,130.10000610351562,125.25790405273438,1788200
2023-01-24,130.24000549316406,125.9019775390625,1259500
2023-01-25,129.0800018310547,123.19110107421875,1578500
2023-01-26,125.75,122.75851440429688,2149900
2023-01-27,127.30999755859375,122.42206573486328,1564100
2023-01-30,127.04000091552734,122.71046447753906,1333300
2023-01-31,128.35000610351562,125.29637145996094,2276200
2023-02-01,130.4199981689453,126.90174102783203,1661300
2023-02-02,132.0399932861328,129.22808837890625,1327100
2023-02-03,132.72000122070312,125.67127990722656,1007200
2023-02-06,129.27000427246094,124.43119812011719,987500
2023-02-07,128.9600067138672,126.19036865234375,1380400
2023-02-08,129.9199981689453,125.33483123779297,1050200
2023-02-09,132.25999450683594,123.8736343383789,961400
2023-02-10,127.9800033569336,121.34540557861328,1104800
2023-02-13,126.94999694824219,123.75828552246094,992200
2023-02-14,128.69000244140625,124.75804138183594,1147100
2023-02-15,129.02999877929688,125.96927642822266,911000
2023-02-16,128.2899932861328,124.74261474609375,1075700
2023-02-17,128.80999755859375,125.47667694091797,1255500
2023-02-21,130.25,121.8932876586914,1495500
2023-02-22,126.62000274658203,124.27899932861328,1252100
2023-02-23,129.47000122070312,123.79605102539062,1137800
2023-02-24,125.75,125.28351593017578,1263300
2023-02-27,131.38999938964844,127.11865997314453,1226700
2023-02-28,131.19000244140625,127.55328369140625,1535300
2023-03-01,131.25999450683594,128.68338012695312,2651000
2023-03-02,132.14999389648438,130.23843383789062,1641700
2023-03-03,136.11000061035156,132.76902770996094,1288100
2023-03-06,137.39999389648438,129.0793914794922,1451600
2023-03-07,133.25,126.44255065917969,1610000
